instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
221670661,865901,BANKEX26APR78300PE,"BANKEX",0,2026-04-30,78300,0.05,30,PE,BFO-OPT,BFO
221572101,865516,BANKEX26APR78200PE,"BANKEX",0,2026-04-30,78200,0.05,30,PE,BFO-OPT,BFO
221595397,865607,BANKEX26APR78200CE,"BANKEX",0,2026-04-30,78200,0.05,30,CE,BFO-OPT,BFO
221573381,865521,BANKEX26APR78100CE,"BANKEX",0,2026-04-30,78100,0.05,30,CE,BFO-OPT,BFO
221588229,865579,BANKEX26APR78100PE,"BANKEX",0,2026-04-30,78100,0.05,30,PE,BFO-OPT,BFO
221590533,865588,BANKEX26APR78000CE,"BANKEX",0,2026-04-30,78000,0.05,30,CE,BFO-OPT,BFO
221603845,865640,BANKEX26APR78000PE,"BANKEX",0,2026-04-30,78000,0.05,30,PE,BFO-OPT,BFO
221596165,865610,BANKEX26APR77900PE,"BANKEX",0,2026-04-30,77900,0.05,30,PE,BFO-OPT,BFO
221617925,865695,BANKEX26APR77900CE,"BANKEX",0,2026-04-30,77900,0.05,30,CE,BFO-OPT,BFO
221531909,865359,BANKEX26APR77800CE,"BANKEX",0,2026-04-30,77800,0.05,30,CE,BFO-OPT,BFO
221544197,865407,BANKEX26APR77800PE,"BANKEX",0,2026-04-30,77800,0.05,30,PE,BFO-OPT,BFO
221500933,865238,BANKEX26APR77700PE,"BANKEX",0,2026-04-30,77700,0.05,30,PE,BFO-OPT,BFO
221545477,865412,BANKEX26APR77700CE,"BANKEX",0,2026-04-30,77700,0.05,30,CE,BFO-OPT,BFO
220831749,862624,BANKEX26APR77600CE,"BANKEX",0,2026-04-30,77600,0.05,30,CE,BFO-OPT,BFO
220861445,862740,BANKEX26APR77600PE,"BANKEX",0,2026-04-30,77600,0.05,30,PE,BFO-OPT,BFO
220759301,862341,BANKEX26APR77500PE,"BANKEX",0,2026-04-30,77500,0.05,30,PE,BFO-OPT,BFO
220866821,862761,BANKEX26APR77500CE,"BANKEX",0,2026-04-30,77500,0.05,30,CE,BFO-OPT,BFO
220763653,862358,BANKEX26APR77400CE,"BANKEX",0,2026-04-30,77400,0.05,30,CE,BFO-OPT,BFO
220851973,862703,BANKEX26APR77400PE,"BANKEX",0,2026-04-30,77400,0.05,30,PE,BFO-OPT,BFO
220856325,862720,BANKEX26APR77300CE,"BANKEX",0,2026-04-30,77300,0.05,30,CE,BFO-OPT,BFO
220887557,862842,BANKEX26APR77300PE,"BANKEX",0,2026-04-30,77300,0.05,30,PE,BFO-OPT,BFO
220425989,861039,BANKEX26APR77200PE,"BANKEX",0,2026-04-30,77200,0.05,30,PE,BFO-OPT,BFO
220573701,861616,BANKEX26APR77200CE,"BANKEX",0,2026-04-30,77200,0.05,30,CE,BFO-OPT,BFO
220516101,861391,BANKEX26APR77100CE,"BANKEX",0,2026-04-30,77100,0.05,30,CE,BFO-OPT,BFO
220558085,861555,BANKEX26APR77100PE,"BANKEX",0,2026-04-30,77100,0.05,30,PE,BFO-OPT,BFO
217494277,849587,BANKEX26APR77000PE,"BANKEX",0,2026-04-30,77000,0.05,30,PE,BFO-OPT,BFO
219140357,856017,BANKEX26APR77000CE,"BANKEX",0,2026-04-30,77000,0.05,30,CE,BFO-OPT,BFO
217917189,851239,BANKEX26APR76900CE,"BANKEX",0,2026-04-30,76900,0.05,30,CE,BFO-OPT,BFO
218363141,852981,BANKEX26APR76900PE,"BANKEX",0,2026-04-30,76900,0.05,30,PE,BFO-OPT,BFO
217272325,848720,BANKEX26APR76800CE,"BANKEX",0,2026-04-30,76800,0.05,30,CE,BFO-OPT,BFO
217721349,850474,BANKEX26APR76800PE,"BANKEX",0,2026-04-30,76800,0.05,30,PE,BFO-OPT,BFO
217791237,850747,BANKEX26APR76700CE,"BANKEX",0,2026-04-30,76700,0.05,30,CE,BFO-OPT,BFO
218233093,852473,BANKEX26APR76700PE,"BANKEX",0,2026-04-30,76700,0.05,30,PE,BFO-OPT,BFO
217588229,849954,BANKEX26APR76600PE,"BANKEX",0,2026-04-30,76600,0.05,30,PE,BFO-OPT,BFO
218302725,852745,BANKEX26APR76600CE,"BANKEX",0,2026-04-30,76600,0.05,30,CE,BFO-OPT,BFO
217662213,850243,BANKEX26APR76500CE,"BANKEX",0,2026-04-30,76500,0.05,30,CE,BFO-OPT,BFO
218104837,851972,BANKEX26APR76500PE,"BANKEX",0,2026-04-30,76500,0.05,30,PE,BFO-OPT,BFO
218176773,852253,BANKEX26APR76400CE,"BANKEX",0,2026-04-30,76400,0.05,30,CE,BFO-OPT,BFO
218613765,853960,BANKEX26APR76400PE,"BANKEX",0,2026-04-30,76400,0.05,30,PE,BFO-OPT,BFO
217524741,849706,BANKEX26APR76300CE,"BANKEX",0,2026-04-30,76300,0.05,30,CE,BFO-OPT,BFO
217965829,851429,BANKEX26APR76300PE,"BANKEX",0,2026-04-30,76300,0.05,30,PE,BFO-OPT,BFO
218043909,851734,BANKEX26APR76200CE,"BANKEX",0,2026-04-30,76200,0.05,30,CE,BFO-OPT,BFO
218485509,853459,BANKEX26APR76200PE,"BANKEX",0,2026-04-30,76200,0.05,30,PE,BFO-OPT,BFO
217837317,850927,BANKEX26APR76100PE,"BANKEX",0,2026-04-30,76100,0.05,30,PE,BFO-OPT,BFO
218551813,853718,BANKEX26APR76100CE,"BANKEX",0,2026-04-30,76100,0.05,30,CE,BFO-OPT,BFO
217904901,851191,BANKEX26APR76000CE,"BANKEX",0,2026-04-30,76000,0.05,30,CE,BFO-OPT,BFO
218348805,852925,BANKEX26APR76000PE,"BANKEX",0,2026-04-30,76000,0.05,30,PE,BFO-OPT,BFO
218778629,854604,BANKEX26APR75900CE,"BANKEX",0,2026-04-30,75900,0.05,30,CE,BFO-OPT,BFO
219217669,856319,BANKEX26APR75900PE,"BANKEX",0,2026-04-30,75900,0.05,30,PE,BFO-OPT,BFO
218571269,853794,BANKEX26APR75800PE,"BANKEX",0,2026-04-30,75800,0.05,30,PE,BFO-OPT,BFO
219292677,856612,BANKEX26APR75800CE,"BANKEX",0,2026-04-30,75800,0.05,30,CE,BFO-OPT,BFO
218642181,854071,BANKEX26APR75700CE,"BANKEX",0,2026-04-30,75700,0.05,30,CE,BFO-OPT,BFO
219080709,855784,BANKEX26APR75700PE,"BANKEX",0,2026-04-30,75700,0.05,30,PE,BFO-OPT,BFO
217509893,849648,BANKEX26APR75600PE,"BANKEX",0,2026-04-30,75600,0.05,30,PE,BFO-OPT,BFO
219154181,856071,BANKEX26APR75600CE,"BANKEX",0,2026-04-30,75600,0.05,30,CE,BFO-OPT,BFO
218512645,853565,BANKEX26APR75500CE,"BANKEX",0,2026-04-30,75500,0.05,30,CE,BFO-OPT,BFO
218953989,855289,BANKEX26APR75500PE,"BANKEX",0,2026-04-30,75500,0.05,30,PE,BFO-OPT,BFO
217378821,849136,BANKEX26APR75400PE,"BANKEX",0,2026-04-30,75400,0.05,30,PE,BFO-OPT,BFO
219018501,855541,BANKEX26APR75400CE,"BANKEX",0,2026-04-30,75400,0.05,30,CE,BFO-OPT,BFO
217445381,849396,BANKEX26APR75300CE,"BANKEX",0,2026-04-30,75300,0.05,30,CE,BFO-OPT,BFO
218823173,854778,BANKEX26APR75300PE,"BANKEX",0,2026-04-30,75300,0.05,30,PE,BFO-OPT,BFO
217243653,848608,BANKEX26APR75200PE,"BANKEX",0,2026-04-30,75200,0.05,30,PE,BFO-OPT,BFO
218893317,855052,BANKEX26APR75200CE,"BANKEX",0,2026-04-30,75200,0.05,30,CE,BFO-OPT,BFO
217320453,848908,BANKEX26APR75100CE,"BANKEX",0,2026-04-30,75100,0.05,30,CE,BFO-OPT,BFO
217761029,850629,BANKEX26APR75100PE,"BANKEX",0,2026-04-30,75100,0.05,30,PE,BFO-OPT,BFO
218761221,854536,BANKEX26APR75000CE,"BANKEX",0,2026-04-30,75000,0.05,30,CE,BFO-OPT,BFO
219198213,856243,BANKEX26APR75000PE,"BANKEX",0,2026-04-30,75000,0.05,30,PE,BFO-OPT,BFO
217538309,849759,BANKEX26APR74900CE,"BANKEX",0,2026-04-30,74900,0.05,30,CE,BFO-OPT,BFO
217981701,851491,BANKEX26APR74900PE,"BANKEX",0,2026-04-30,74900,0.05,30,PE,BFO-OPT,BFO
218058245,851790,BANKEX26APR74800CE,"BANKEX",0,2026-04-30,74800,0.05,30,CE,BFO-OPT,BFO
218497285,853505,BANKEX26APR74800PE,"BANKEX",0,2026-04-30,74800,0.05,30,PE,BFO-OPT,BFO
217403397,849232,BANKEX26APR74700CE,"BANKEX",0,2026-04-30,74700,0.05,30,CE,BFO-OPT,BFO
217854213,850993,BANKEX26APR74700PE,"BANKEX",0,2026-04-30,74700,0.05,30,PE,BFO-OPT,BFO
217916677,851237,BANKEX26APR74600CE,"BANKEX",0,2026-04-30,74600,0.05,30,CE,BFO-OPT,BFO
218362117,852977,BANKEX26APR74600PE,"BANKEX",0,2026-04-30,74600,0.05,30,PE,BFO-OPT,BFO
217720581,850471,BANKEX26APR74500PE,"BANKEX",0,2026-04-30,74500,0.05,30,PE,BFO-OPT,BFO
218433797,853257,BANKEX26APR74500CE,"BANKEX",0,2026-04-30,74500,0.05,30,CE,BFO-OPT,BFO
217789701,850741,BANKEX26APR74400CE,"BANKEX",0,2026-04-30,74400,0.05,30,CE,BFO-OPT,BFO
218231301,852466,BANKEX26APR74400PE,"BANKEX",0,2026-04-30,74400,0.05,30,PE,BFO-OPT,BFO
218302213,852743,BANKEX26APR74300CE,"BANKEX",0,2026-04-30,74300,0.05,30,CE,BFO-OPT,BFO
218745605,854475,BANKEX26APR74300PE,"BANKEX",0,2026-04-30,74300,0.05,30,PE,BFO-OPT,BFO
217661445,850240,BANKEX26APR74200CE,"BANKEX",0,2026-04-30,74200,0.05,30,CE,BFO-OPT,BFO
218103557,851967,BANKEX26APR74200PE,"BANKEX",0,2026-04-30,74200,0.05,30,PE,BFO-OPT,BFO
218175749,852249,BANKEX26APR74100CE,"BANKEX",0,2026-04-30,74100,0.05,30,CE,BFO-OPT,BFO
218612485,853955,BANKEX26APR74100PE,"BANKEX",0,2026-04-30,74100,0.05,30,PE,BFO-OPT,BFO
217964293,851423,BANKEX26APR74000PE,"BANKEX",0,2026-04-30,74000,0.05,30,PE,BFO-OPT,BFO
218682373,854228,BANKEX26APR74000CE,"BANKEX",0,2026-04-30,74000,0.05,30,CE,BFO-OPT,BFO
218387461,853076,BANKEX26APR73900CE,"BANKEX",0,2026-04-30,73900,0.05,30,CE,BFO-OPT,BFO
218836485,854830,BANKEX26APR73900PE,"BANKEX",0,2026-04-30,73900,0.05,30,PE,BFO-OPT,BFO
217257477,848662,BANKEX26APR73800PE,"BANKEX",0,2026-04-30,73800,0.05,30,PE,BFO-OPT,BFO
218907653,855108,BANKEX26APR73800CE,"BANKEX",0,2026-04-30,73800,0.05,30,CE,BFO-OPT,BFO
217331461,848951,BANKEX26APR73700CE,"BANKEX",0,2026-04-30,73700,0.05,30,CE,BFO-OPT,BFO
218701061,854301,BANKEX26APR73700PE,"BANKEX",0,2026-04-30,73700,0.05,30,PE,BFO-OPT,BFO
218776837,854597,BANKEX26APR73600CE,"BANKEX",0,2026-04-30,73600,0.05,30,CE,BFO-OPT,BFO
219217157,856317,BANKEX26APR73600PE,"BANKEX",0,2026-04-30,73600,0.05,30,PE,BFO-OPT,BFO
217646853,850183,BANKEX26APR73500PE,"BANKEX",0,2026-04-30,73500,0.05,30,PE,BFO-OPT,BFO
219291141,856606,BANKEX26APR73500CE,"BANKEX",0,2026-04-30,73500,0.05,30,CE,BFO-OPT,BFO
218640901,854066,BANKEX26APR73400CE,"BANKEX",0,2026-04-30,73400,0.05,30,CE,BFO-OPT,BFO
219079941,855781,BANKEX26APR73400PE,"BANKEX",0,2026-04-30,73400,0.05,30,PE,BFO-OPT,BFO
217509125,849645,BANKEX26APR73300PE,"BANKEX",0,2026-04-30,73300,0.05,30,PE,BFO-OPT,BFO
219153157,856067,BANKEX26APR73300CE,"BANKEX",0,2026-04-30,73300,0.05,30,CE,BFO-OPT,BFO
217581573,849928,BANKEX26APR73200CE,"BANKEX",0,2026-04-30,73200,0.05,30,CE,BFO-OPT,BFO
218952709,855284,BANKEX26APR73200PE,"BANKEX",0,2026-04-30,73200,0.05,30,PE,BFO-OPT,BFO
217378053,849133,BANKEX26APR73100PE,"BANKEX",0,2026-04-30,73100,0.05,30,PE,BFO-OPT,BFO
219017733,855538,BANKEX26APR73100CE,"BANKEX",0,2026-04-30,73100,0.05,30,CE,BFO-OPT,BFO
217444101,849391,BANKEX26APR73000CE,"BANKEX",0,2026-04-30,73000,0.05,30,CE,BFO-OPT,BFO
217889285,851130,BANKEX26APR73000PE,"BANKEX",0,2026-04-30,73000,0.05,30,PE,BFO-OPT,BFO
217602565,850010,BANKEX26APR72900PE,"BANKEX",0,2026-04-30,72900,0.05,30,PE,BFO-OPT,BFO
218315013,852793,BANKEX26APR72900CE,"BANKEX",0,2026-04-30,72900,0.05,30,CE,BFO-OPT,BFO
217677573,850303,BANKEX26APR72800CE,"BANKEX",0,2026-04-30,72800,0.05,30,CE,BFO-OPT,BFO
218119429,852029,BANKEX26APR72800PE,"BANKEX",0,2026-04-30,72800,0.05,30,PE,BFO-OPT,BFO
218188549,852299,BANKEX26APR72700CE,"BANKEX",0,2026-04-30,72700,0.05,30,CE,BFO-OPT,BFO
218628869,854019,BANKEX26APR72700PE,"BANKEX",0,2026-04-30,72700,0.05,30,PE,BFO-OPT,BFO
217537285,849755,BANKEX26APR72600CE,"BANKEX",0,2026-04-30,72600,0.05,30,CE,BFO-OPT,BFO
217980421,851486,BANKEX26APR72600PE,"BANKEX",0,2026-04-30,72600,0.05,30,PE,BFO-OPT,BFO
218057221,851786,BANKEX26APR72500CE,"BANKEX",0,2026-04-30,72500,0.05,30,CE,BFO-OPT,BFO
218496517,853502,BANKEX26APR72500PE,"BANKEX",0,2026-04-30,72500,0.05,30,PE,BFO-OPT,BFO
217853445,850990,BANKEX26APR72400PE,"BANKEX",0,2026-04-30,72400,0.05,30,PE,BFO-OPT,BFO
218565381,853771,BANKEX26APR72400CE,"BANKEX",0,2026-04-30,72400,0.05,30,CE,BFO-OPT,BFO
217915653,851233,BANKEX26APR72300CE,"BANKEX",0,2026-04-30,72300,0.05,30,CE,BFO-OPT,BFO
218360581,852971,BANKEX26APR72300PE,"BANKEX",0,2026-04-30,72300,0.05,30,PE,BFO-OPT,BFO
218433029,853254,BANKEX26APR72200CE,"BANKEX",0,2026-04-30,72200,0.05,30,CE,BFO-OPT,BFO
218877445,854990,BANKEX26APR72200PE,"BANKEX",0,2026-04-30,72200,0.05,30,PE,BFO-OPT,BFO
217788165,850735,BANKEX26APR72100CE,"BANKEX",0,2026-04-30,72100,0.05,30,CE,BFO-OPT,BFO
218230021,852461,BANKEX26APR72100PE,"BANKEX",0,2026-04-30,72100,0.05,30,PE,BFO-OPT,BFO
218301957,852742,BANKEX26APR72000CE,"BANKEX",0,2026-04-30,72000,0.05,30,CE,BFO-OPT,BFO
218745093,854473,BANKEX26APR72000PE,"BANKEX",0,2026-04-30,72000,0.05,30,PE,BFO-OPT,BFO
217523205,849700,BANKEX26APR71900PE,"BANKEX",0,2026-04-30,71900,0.05,30,PE,BFO-OPT,BFO
219164677,856112,BANKEX26APR71900CE,"BANKEX",0,2026-04-30,71900,0.05,30,CE,BFO-OPT,BFO
218523653,853608,BANKEX26APR71800CE,"BANKEX",0,2026-04-30,71800,0.05,30,CE,BFO-OPT,BFO
218966789,855339,BANKEX26APR71800PE,"BANKEX",0,2026-04-30,71800,0.05,30,PE,BFO-OPT,BFO
217389061,849176,BANKEX26APR71700PE,"BANKEX",0,2026-04-30,71700,0.05,30,PE,BFO-OPT,BFO
219028229,855579,BANKEX26APR71700CE,"BANKEX",0,2026-04-30,71700,0.05,30,CE,BFO-OPT,BFO
217460485,849455,BANKEX26APR71600CE,"BANKEX",0,2026-04-30,71600,0.05,30,CE,BFO-OPT,BFO
218835717,854827,BANKEX26APR71600PE,"BANKEX",0,2026-04-30,71600,0.05,30,PE,BFO-OPT,BFO
217256453,848658,BANKEX26APR71500PE,"BANKEX",0,2026-04-30,71500,0.05,30,PE,BFO-OPT,BFO
218905605,855100,BANKEX26APR71500CE,"BANKEX",0,2026-04-30,71500,0.05,30,CE,BFO-OPT,BFO
217330437,848947,BANKEX26APR71400CE,"BANKEX",0,2026-04-30,71400,0.05,30,CE,BFO-OPT,BFO
217772549,850674,BANKEX26APR71400PE,"BANKEX",0,2026-04-30,71400,0.05,30,PE,BFO-OPT,BFO
218776069,854594,BANKEX26APR71300CE,"BANKEX",0,2026-04-30,71300,0.05,30,CE,BFO-OPT,BFO
219215621,856311,BANKEX26APR71300PE,"BANKEX",0,2026-04-30,71300,0.05,30,PE,BFO-OPT,BFO
217645829,850179,BANKEX26APR71200PE,"BANKEX",0,2026-04-30,71200,0.05,30,PE,BFO-OPT,BFO
219290373,856603,BANKEX26APR71200CE,"BANKEX",0,2026-04-30,71200,0.05,30,CE,BFO-OPT,BFO
217715461,850451,BANKEX26APR71100CE,"BANKEX",0,2026-04-30,71100,0.05,30,CE,BFO-OPT,BFO
219078405,855775,BANKEX26APR71100PE,"BANKEX",0,2026-04-30,71100,0.05,30,PE,BFO-OPT,BFO
217507845,849640,BANKEX26APR71000PE,"BANKEX",0,2026-04-30,71000,0.05,30,PE,BFO-OPT,BFO
219152389,856064,BANKEX26APR71000CE,"BANKEX",0,2026-04-30,71000,0.05,30,CE,BFO-OPT,BFO
217929221,851286,BANKEX26APR70900CE,"BANKEX",0,2026-04-30,70900,0.05,30,CE,BFO-OPT,BFO
218374149,853024,BANKEX26APR70900PE,"BANKEX",0,2026-04-30,70900,0.05,30,PE,BFO-OPT,BFO
217731077,850512,BANKEX26APR70800PE,"BANKEX",0,2026-04-30,70800,0.05,30,PE,BFO-OPT,BFO
218445573,853303,BANKEX26APR70800CE,"BANKEX",0,2026-04-30,70800,0.05,30,CE,BFO-OPT,BFO
217800197,850782,BANKEX26APR70700CE,"BANKEX",0,2026-04-30,70700,0.05,30,CE,BFO-OPT,BFO
218245381,852521,BANKEX26APR70700PE,"BANKEX",0,2026-04-30,70700,0.05,30,PE,BFO-OPT,BFO
218314501,852791,BANKEX26APR70600CE,"BANKEX",0,2026-04-30,70600,0.05,30,CE,BFO-OPT,BFO
218760453,854533,BANKEX26APR70600PE,"BANKEX",0,2026-04-30,70600,0.05,30,PE,BFO-OPT,BFO
217675269,850294,BANKEX26APR70500CE,"BANKEX",0,2026-04-30,70500,0.05,30,CE,BFO-OPT,BFO
218117893,852023,BANKEX26APR70500PE,"BANKEX",0,2026-04-30,70500,0.05,30,PE,BFO-OPT,BFO
218187781,852296,BANKEX26APR70400CE,"BANKEX",0,2026-04-30,70400,0.05,30,CE,BFO-OPT,BFO
218627589,854014,BANKEX26APR70400PE,"BANKEX",0,2026-04-30,70400,0.05,30,PE,BFO-OPT,BFO
217979141,851481,BANKEX26APR70300PE,"BANKEX",0,2026-04-30,70300,0.05,30,PE,BFO-OPT,BFO
218694405,854275,BANKEX26APR70300CE,"BANKEX",0,2026-04-30,70300,0.05,30,CE,BFO-OPT,BFO
218055685,851780,BANKEX26APR70200CE,"BANKEX",0,2026-04-30,70200,0.05,30,CE,BFO-OPT,BFO
218494981,853496,BANKEX26APR70200PE,"BANKEX",0,2026-04-30,70200,0.05,30,PE,BFO-OPT,BFO
218563589,853764,BANKEX26APR70100CE,"BANKEX",0,2026-04-30,70100,0.05,30,CE,BFO-OPT,BFO
219003909,855484,BANKEX26APR70100PE,"BANKEX",0,2026-04-30,70100,0.05,30,PE,BFO-OPT,BFO
217914373,851228,BANKEX26APR70000CE,"BANKEX",0,2026-04-30,70000,0.05,30,CE,BFO-OPT,BFO
218360325,852970,BANKEX26APR70000PE,"BANKEX",0,2026-04-30,70000,0.05,30,PE,BFO-OPT,BFO
218358277,852962,BANKEX26APR69900CE,"BANKEX",0,2026-04-30,69900,0.05,30,CE,BFO-OPT,BFO
218807557,854717,BANKEX26APR69900PE,"BANKEX",0,2026-04-30,69900,0.05,30,PE,BFO-OPT,BFO
217226245,848540,BANKEX26APR69800PE,"BANKEX",0,2026-04-30,69800,0.05,30,PE,BFO-OPT,BFO
218874629,854979,BANKEX26APR69800CE,"BANKEX",0,2026-04-30,69800,0.05,30,CE,BFO-OPT,BFO
218226693,852448,BANKEX26APR69700CE,"BANKEX",0,2026-04-30,69700,0.05,30,CE,BFO-OPT,BFO
218674949,854199,BANKEX26APR69700PE,"BANKEX",0,2026-04-30,69700,0.05,30,PE,BFO-OPT,BFO
218743301,854466,BANKEX26APR69600CE,"BANKEX",0,2026-04-30,69600,0.05,30,CE,BFO-OPT,BFO
219179781,856171,BANKEX26APR69600PE,"BANKEX",0,2026-04-30,69600,0.05,30,PE,BFO-OPT,BFO
218099205,851950,BANKEX26APR69500CE,"BANKEX",0,2026-04-30,69500,0.05,30,CE,BFO-OPT,BFO
218541573,853678,BANKEX26APR69500PE,"BANKEX",0,2026-04-30,69500,0.05,30,PE,BFO-OPT,BFO
218609413,853943,BANKEX26APR69400CE,"BANKEX",0,2026-04-30,69400,0.05,30,CE,BFO-OPT,BFO
219044869,855644,BANKEX26APR69400PE,"BANKEX",0,2026-04-30,69400,0.05,30,PE,BFO-OPT,BFO
218404869,853144,BANKEX26APR69300PE,"BANKEX",0,2026-04-30,69300,0.05,30,PE,BFO-OPT,BFO
219122693,855948,BANKEX26APR69300CE,"BANKEX",0,2026-04-30,69300,0.05,30,CE,BFO-OPT,BFO
218480389,853439,BANKEX26APR69200CE,"BANKEX",0,2026-04-30,69200,0.05,30,CE,BFO-OPT,BFO
